count_point_id,direction_of_travel,year,count_date,hour,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
26947,S,2005,25/05/2005,8,South East,113,Wokingham,A327,Major,B3349,LA Boundary,1.49,29,3,783,12,77,20,2,2,0,2,0,26,901
26947,S,2005,25/05/2005,9,South East,113,Wokingham,A327,Major,B3349,LA Boundary,1.49,13,7,369,6,64,20,2,5,0,0,0,27,473
26947,S,2005,25/05/2005,10,South East,113,Wokingham,A327,Major,B3349,LA Boundary,1.49,2,1,292,5,53,9,2,2,1,0,1,15,366
26947,S,2005,25/05/2005,11,South East,113,Wokingham,A327,Major,B3349,LA Boundary,1.49,4,8,308,4,54,20,2,2,2,0,0,26,400
26947,S,2005,25/05/2005,12,South East,113,Wokingham,A327,Major,B3349,LA Boundary,1.49,3,2,387,4,61,30,0,1,0,0,0,31,485
26947,S,2005,25/05/2005,13,South East,113,Wokingham,A327,Major,B3349,LA Boundary,1.49,2,4,461,5,62,18,4,2,1,0,0,25,557
26947,S,2005,25/05/2005,14,South East,113,Wokingham,A327,Major,B3349,LA Boundary,1.49,8,2,451,4,61,9,1,2,0,0,0,12,530
26947,S,2005,25/05/2005,15,South East,113,Wokingham,A327,Major,B3349,LA Boundary,1.49,6,8,542,7,64,12,2,5,0,0,0,19,640
26947,S,2005,25/05/2005,16,South East,113,Wokingham,A327,Major,B3349,LA Boundary,1.49,6,4,646,15,70,11,2,2,0,1,0,16,751
26947,S,2005,25/05/2005,17,South East,113,Wokingham,A327,Major,B3349,LA Boundary,1.49,12,10,779,5,69,2,1,1,0,0,0,4,867
26947,S,2005,25/05/2005,18,South East,113,Wokingham,A327,Major,B3349,LA Boundary,1.49,9,8,623,3,35,2,0,0,1,0,0,3,672
27137,E,2005,14/09/2005,7,South East,113,Wokingham,A4130,Major,A321,LA Boundary,2.24,2,9,546,0,54,16,0,3,3,1,1,24,633
27137,E,2005,14/09/2005,12,South East,113,Wokingham,A4130,Major,A321,LA Boundary,2.24,0,1,208,2,48,13,2,4,3,0,0,22,281
27137,E,2005,14/09/2005,13,South East,113,Wokingham,A4130,Major,A321,LA Boundary,2.24,0,4,253,6,55,10,2,0,1,2,1,16,334
27137,E,2005,14/09/2005,14,South East,113,Wokingham,A4130,Major,A321,LA Boundary,2.24,0,7,231,2,51,3,0,8,1,0,0,12,303
27137,E,2005,14/09/2005,15,South East,113,Wokingham,A4130,Major,A321,LA Boundary,2.24,0,0,268,5,42,2,0,0,0,3,1,6,321
27137,E,2005,14/09/2005,16,South East,113,Wokingham,A4130,Major,A321,LA Boundary,2.24,0,2,322,6,72,5,1,0,1,0,0,7,409
27137,E,2005,14/09/2005,17,South East,113,Wokingham,A4130,Major,A321,LA Boundary,2.24,0,4,451,6,51,1,0,0,2,0,0,3,515
27137,E,2005,14/09/2005,18,South East,113,Wokingham,A4130,Major,A321,LA Boundary,2.24,1,5,359,3,23,1,0,0,0,1,1,3,393
27137,W,2005,14/09/2005,7,South East,113,Wokingham,A4130,Major,A321,LA Boundary,2.24,0,2,320,8,50,20,1,4,1,1,2,29,409
27137,W,2005,14/09/2005,8,South East,113,Wokingham,A4130,Major,A321,LA Boundary,2.24,0,4,337,4,33,11,0,5,0,0,0,16,394
27137,W,2005,14/09/2005,9,South East,113,Wokingham,A4130,Major,A321,LA Boundary,2.24,1,5,217,4,18,21,3,6,1,3,0,34,278
27137,W,2005,14/09/2005,10,South East,113,Wokingham,A4130,Major,A321,LA Boundary,2.24,0,0,215,2,30,13,4,3,0,4,1,25,272
27137,W,2005,14/09/2005,11,South East,113,Wokingham,A4130,Major,A321,LA Boundary,2.24,0,5,212,4,27,14,2,3,2,1,0,22,270
27137,W,2005,14/09/2005,12,South East,113,Wokingham,A4130,Major,A321,LA Boundary,2.24,0,0,242,1,46,16,0,2,2,3,1,24,313
27137,W,2005,14/09/2005,13,South East,113,Wokingham,A4130,Major,A321,LA Boundary,2.24,0,3,190,2,60,12,4,2,2,1,3,24,279
27137,W,2005,14/09/2005,14,South East,113,Wokingham,A4130,Major,A321,LA Boundary,2.24,0,4,209,2,47,9,3,2,1,2,1,18,280
27137,W,2005,14/09/2005,15,South East,113,Wokingham,A4130,Major,A321,LA Boundary,2.24,0,2,232,5,49,12,3,5,2,6,1,29,317
27137,W,2005,14/09/2005,16,South East,113,Wokingham,A4130,Major,A321,LA Boundary,2.24,0,2,272,1,49,10,1,1,1,2,2,17,341
27137,W,2005,14/09/2005,17,South East,113,Wokingham,A4130,Major,A321,LA Boundary,2.24,1,8,438,4,37,2,0,0,0,1,0,3,490
27137,W,2005,14/09/2005,18,South East,113,Wokingham,A4130,Major,A321,LA Boundary,2.24,2,16,457,1,21,3,0,0,2,0,0,5,500
27137,E,2005,14/09/2005,8,South East,113,Wokingham,A4130,Major,A321,LA Boundary,2.24,0,5,615,3,44,17,3,3,1,3,4,31,698
27137,E,2005,14/09/2005,9,South East,113,Wokingham,A4130,Major,A321,LA Boundary,2.24,0,4,348,3,40,22,1,3,4,4,2,36,431
27137,E,2005,14/09/2005,10,South East,113,Wokingham,A4130,Major,A321,LA Boundary,2.24,0,2,212,1,43,24,4,5,5,1,0,39,297
27137,E,2005,14/09/2005,11,South East,113,Wokingham,A4130,Major,A321,LA Boundary,2.24,0,0,221,3,48,20,1,1,5,3,1,31,303
46012,E,2005,13/06/2005,7,South East,113,Wokingham,M4,Major,LA Boundary,Junction 10,5.1,0,38,6538,20,408,92,17,11,14,68,70,272,7276
46012,E,2005,13/06/2005,8,South East,113,Wokingham,M4,Major,LA Boundary,Junction 10,5.1,0,43,4589,22,389,150,12,11,35,98,56,362,5405
46012,E,2005,13/06/2005,9,South East,113,Wokingham,M4,Major,LA Boundary,Junction 10,5.1,0,27,3017,23,248,97,4,11,18,81,96,307,3622
46012,E,2005,13/06/2005,10,South East,113,Wokingham,M4,Major,LA Boundary,Junction 10,5.1,0,16,2554,39,417,213,15,14,38,109,100,489,3515
46012,E,2005,13/06/2005,11,South East,113,Wokingham,M4,Major,LA Boundary,Junction 10,5.1,0,25,2217,18,250,106,9,8,23,115,97,358,2868
46012,E,2005,13/06/2005,12,South East,113,Wokingham,M4,Major,LA Boundary,Junction 10,5.1,0,16,2217,32,365,162,14,14,45,134,81,450,3080
46012,E,2005,13/06/2005,13,South East,113,Wokingham,M4,Major,LA Boundary,Junction 10,5.1,0,45,2763,22,398,87,14,27,18,132,83,361,3589
46012,E,2005,13/06/2005,14,South East,113,Wokingham,M4,Major,LA Boundary,Junction 10,5.1,0,19,2435,21,480,156,16,13,17,82,125,409,3364
46012,E,2005,13/06/2005,15,South East,113,Wokingham,M4,Major,LA Boundary,Junction 10,5.1,0,22,2955,16,436,92,9,25,13,132,67,338,3767
46012,E,2005,13/06/2005,16,South East,113,Wokingham,M4,Major,LA Boundary,Junction 10,5.1,0,26,3613,18,541,130,11,6,20,78,81,326,4524
46012,E,2005,13/06/2005,17,South East,113,Wokingham,M4,Major,LA Boundary,Junction 10,5.1,0,29,4183,37,312,65,4,6,18,81,64,238,4799
46012,E,2005,13/06/2005,18,South East,113,Wokingham,M4,Major,LA Boundary,Junction 10,5.1,0,22,3688,21,246,65,6,3,5,84,92,255,4232
46012,W,2005,13/06/2005,7,South East,113,Wokingham,M4,Major,LA Boundary,Junction 10,5.1,0,28,3895,22,489,133,10,8,20,65,74,310,4744
